Run Date,Description,Model,roc auc,accuracy,precision,recall
,,,,,,
11.02.2020,"proposal
commit 4aaf68d92d0e4aeda684ba270adf24047565aecf
Not fully implemented, yet",DecisionTreeClassifier,98.793309,99.946306,93.203883,97.627119
,,SVC,85.059674,99.781387,88.841202,70.169492
,,DummyClassifier,49.898528,98.897348,0.354610,0.338983
,,NeuralNetwork,96.779661,96.779661,94.805195,98.983051
,,NeuralNetwork,87.879296,91.733639,99.555556,75.932203
,,NeuralNetwork,98.135593,98.135593,97.333333,98.983051
,,,,,,
18.02.2020,"proposal
commit 4d6c22c0de8e211128b2ee029819629abcc54150
Not finally implemented, yet",DecisionTreeClassifier,94.211252,99.883023,90.625000,88.474576
,,RandomForestClassifier,94.211252,99.883023,90.625000,88.474576
,,SVC,88.116308,99.827411,91.836735,76.271186
,,DummyClassifier,49.898528,98.897348,0.354610,0.338983
,,NeuralNetwork,93.898305,93.898305,90.342679,98.305085
,,NeuralNetwork,93.050847,93.050847,90.189873,96.610169
,,NeuralNetwork,95.572622,96.440873,96.478873,92.881356
,,,,,,
22.02.2020,"proposal
commit 445db0dbdb0f300e358ebd4ee225213c89dc7b85
Grid search NN",DecisionTreeClassifier,98.288692,99.948223,94.370861,96.610169
,,SVC,96.591848,99.925211,93.537415,93.220339
,,DummyClassifier,49.898528,98.897348,0.354610,0.338983
,,NeuralNetwork,94.745763,94.745763,93.137255,96.610169
,,NeuralNetwork,94.406780,94.406780,92.532468,96.610169
,,NeuralNetwork,61.608110,73.938002,98.571429,23.389831
,,,,,,
28.02.2020,"proposal
commit 166f2a468ea8579f2fff2ee1fdf4c5d163c744fe
volumes numbers extracted",RandomForestClassifier,99.655231,99.984659,97.993311,99.322034
,,DecisionTreeClassifier,99.649446,99.973153,96.065574,99.322034
,,SVC,98.448541,99.930964,91.373802,96.949153
,,Neural Network,93.717242,99.906035,95.555556,87.457627
,,DummyClassifier,49.898528,98.897348,0.354610,0.338983
,,,,,,
04.03.2020,"proposal
commit f9055cd8e083470a8b8268e1c4434e0ae2071afb
exec_mode = full
fact = 0.01
oversamp = 0
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,98.638282,99.973153,97.952218,97.288136
,,DecisionTreeClassifier,98.799095,99.957812,95.049505,97.627119
,,DecisionTreeClassifier_CV,99.304677,99.957812,94.174757,98.644068
,,SVC_CV,95.409265,99.919458,94.699647,90.847458
,,SVC,95.237844,99.913705,94.014085,90.508475
,,NeuralNetwork,95.065460,99.906035,93.006993,90.169492
,,,,,,
05.03.2020,"proposal
commit 1e936289a3e05136ca8296cfe6a08d411827c215
exec_mode = full
fact = 0.1
oversamp = 0
mode_exactDate = added_u
strip_number = True",RandomForestClassifier,98.638282,99.973153,97.952218,97.288136
,,DecisionTreeClassifier,98.799095,99.957812,95.049505,97.627119
,,DecisionTreeClassifier_CV,99.304677,99.957812,94.174757,98.644068
,,SVC_CV,96.931795,99.930964,93.898305,93.898305
,,SVC,95.745355,99.917541,93.750000,91.525424
,,NeuralNetwork,93.376331,99.898364,94.814815,86.779661
,,,,,,
Comment,The data preparation in chapter 2 has been finalised by 07.03.2020. Only runs after that date are considered on this sheet.,,,,,
,,,,,,
08.03.2020,"proposal
commit 98bda129d9b0687038f433032c9c7e34cd6de08c
exec_mode = full
fact = 0.1
oversamp = 0
mode_exactDate = xor
strip_number = True",RandomForestClassifier,97.109966,99.950141,99.950141,96.864111
,,DecisionTreeClassifier_CV,97.440270,99.936717,99.936717,93.959732
,,SVC_CV,96.929867,99.927129,99.927129,93.265993
,,DecisionTreeClassifier,97.434484,99.925211,99.925211,92.105263
,,SVC,95.400586,99.902200,99.902200,91.780822
,,,,,,
19.03.2020,"project
commit 5269da63be6cf550634efae810c1d80374b864b1
exec_mode = full
fact = 0.1
oversamp = 0
mode_exactDate = xor
strip_number = True",DecisionTreeClassifier_CV,98.460039,99.953745,95.016611,96.949153
,,RandomForestClassifier,97.781104,99.944108,94.630872,95.593220
,,DecisionTreeClassifier,97.768504,99.919053,90.675241,95.593220
,,Neural Network,97.263907,99.920981,91.776316,94.576271
,,SVC,96.248896,99.913271,92.229730,92.542373
,,SVC_CV,95.901190,99.892071,89.438944,91.864407
,,,,,,
21.03.2020,"project
commit 749955a332816c0a5b316932aff60609fd298e2e
exec_mode = restricted
fact = 1.0
oversamp = 0
mode_exactDate = added_u
strip_number = False",DecisionTreeClassifier_CV,98.285702,99.942181,93.442623,96.610169
,,RandomForestClassifier,98.114272,99.936399,92.810458,96.271186
,,DecisionTreeClassifier,97.434367,99.924835,92.105263,94.915254
,,NeuralNetwork,97.262937,99.919053,91.475410,94.576271
,,SVC_CV,96.757370,99.919053,92.307692,93.559322
,,SVC,94.720565,99.890144,91.034483,89.491525
,,,,,,
22.3.2020,"project
commit 7726770b391ab60d1c2fe6f61654f9ae345a2771
exec_mode = restricted
fact = 1.0
oversamp = 0
mode_exactDate = added_u
strip_number = True",DecisionTreeClassifier_CV,98.288609,99.947963,94.370861,96.610169
,,DecisionTreeClassifier,98.118148,99.944108,94.039735,96.271186
,,RandomForestClassifier,97.951564,99.947963,94.966443,95.932203
,,NeuralNetwork,97.438244,99.932544,93.333333,94.915254
,,SVC_CV,96.919109,99.905562,89.935065,93.898305
,,SVC,95.560269,99.884362,88.778878,91.186441
,,,,,,
26.3.2020,"project
commit 407cd7881e41a2bdc78749b8709f6c1a204dbb52
exec_mode = full
fact = 1.0
oversamp = 0
mode_exactDate = added_u
strip_number = True",DecisionTreeClassifier_CV,98.116210,99.940254,93.421053,96.271186
,,RandomForestClassifier,97.950595,99.946036,94.648829,95.932203
,,DecisionTreeClassifier,97.768504,99.919053,90.675241,95.593220
,,NeuralNetwork,95.572868,99.909417,92.758621,91.186441
,,SVC_CV,95.059548,99.893998,91.095890,90.169492
