class_weight,criterion,max_depth,accuracy_val,std_accuracy_val,log_accuracy_val
,gini,16.0,0.99841144970288,0.0003825674882439522,6.44493344147614
,gini,18.0,0.9984353374305599,0.00024005563395397705,6.460085088818729
,gini,20.0,0.9984711690220799,0.0002686610936438987,6.48325190234442
,gini,22.0,0.9984711690220799,0.0002686610936438987,6.48325190234442
,gini,24.0,0.9984711690220799,0.0002686610936438987,6.48325190234442
,gini,,0.9984711690220799,0.0002686610936438987,6.48325190234442
,entropy,16.0,0.9985667227860875,0.00037389125780569406,6.547791698801528
,entropy,18.0,0.9985906105137674,0.000363444497089792,6.564598656846166
,entropy,20.0,0.9986025579442174,0.0005019154096529237,6.573111816561975
,entropy,22.0,0.9985906140803774,0.0004588557874737426,6.564601187455734
,entropy,24.0,0.9985786702165373,0.0004491143845065093,6.55616237835362
,entropy,,0.9985786702165373,0.0004491143845065093,6.55616237835362
balanced,gini,16.0,0.9983278462226103,0.00042562617040577897,6.393642796425767
balanced,gini,18.0,0.9985189480440496,0.00036107762302733064,6.51500266264377
balanced,gini,20.0,0.9986144996680913,0.0003490259949398608,6.5816939541025175
balanced,gini,22.0,0.998686162851131,0.0003068316179965273,6.634803302012056
balanced,gini,24.0,0.998710050578811,0.00031734585516096447,6.6531522697578565
balanced,gini,,0.9987219944426506,0.00031734631156161237,6.662454574562571
balanced,entropy,16.0,0.9983039556416424,0.00027906651076109766,6.379456587262488
balanced,entropy,18.0,0.9986025543776073,0.00027391581343019555,6.573109264323367
balanced,entropy,20.0,0.9986145010947352,0.00037082312859637644,6.581694983798798
balanced,entropy,22.0,0.9986145010947352,0.00037082312859637644,6.581694983798798
balanced,entropy,24.0,0.9986145010947352,0.00037082312859637644,6.581694983798798
balanced,entropy,,0.9986145010947352,0.00037082312859637644,6.581694983798798
