class_weight,criterion,max_depth,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
,entropy,10.0,0.9995371683662043,0.9993430874888026,7.678147211921772,7.327959712429935
,entropy,12.0,0.9996416787351259,0.9993430874888026,7.934080586058853,7.327959712429935
,entropy,14.0,0.9997760492094537,0.9993430874888026,8.404084215304836,7.327959712429935
balanced,entropy,,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,30.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,35.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
,entropy,16.0,0.9998656295256723,0.9992833681696028,8.914909839070992,7.2409483354402635
balanced,entropy,40.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,45.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,28.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,26.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,24.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,22.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,20.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
balanced,entropy,50.0,0.999985069947297,0.9992833681696028,11.112134416410516,7.2409483354402635
,entropy,18.0,0.9999253497364846,0.9992236488504032,9.502696503973441,7.160905627766835
,entropy,8.0,0.9992236372594395,0.9992236488504032,7.160890697825514,7.160905627766835
balanced,gini,22.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,24.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,26.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,28.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,30.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,35.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,40.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,45.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,50.0,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,,0.999985069947297,0.9992236488504032,11.112134416410516,7.160905627766835
balanced,gini,20.0,0.9999701398945938,0.9991639295312034,10.418987235846853,7.086797655613071
,entropy,35.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,50.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,45.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,40.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,30.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
balanced,entropy,16.0,0.9998506994729691,0.9991639295312034,8.809549323412753,7.086797655613071
,entropy,20.0,0.9999552098418908,0.9991639295312034,10.013522127739929,7.086797655613071
,entropy,26.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,24.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,28.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
,entropy,22.0,0.999985069947297,0.9991639295312034,11.112134416410516,7.086797655613071
balanced,entropy,18.0,0.9999402797891876,0.9991042102120036,9.725840055286907,7.017804784126085
balanced,gini,16.0,0.9997461891040476,0.9990444908928038,8.278921072350801,6.953266262988483
balanced,gini,18.0,0.9998208393675629,0.9990444908928038,8.627227766618798,6.953266262988483
,gini,10.0,0.9995520984189075,0.9990444908928038,7.710937034744891,6.953266262988483
,gini,12.0,0.9998357694202661,0.9989847715736041,8.714239143608765,6.89264164117213
,gini,14.0,0.9999402797891876,0.9989250522544043,9.725840055286907,6.83548322733215
,gini,26.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,24.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,8.0,0.9992087072067365,0.9988653329352045,7.141842502854887,6.781416006061848
,gini,16.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,18.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,20.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,22.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,35.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,28.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,30.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,40.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,45.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
,gini,50.0,0.999985069947297,0.9988653329352045,11.112134416410516,6.781416006061848
balanced,entropy,14.0,0.9991788471013303,0.998745894296805,7.10480123117453,6.6813325475049075
,gini,6.0,0.9984771346242852,0.9986264556584055,6.487161603122673,6.590360769299134
,entropy,6.0,0.9983875543080667,0.9981487011048074,6.430003189282717,6.291867780743132
balanced,gini,14.0,0.9988802460472685,0.9979695431472081,6.794646302870636,6.199494460612129
,gini,4.0,0.9974618910404753,0.9978501045088086,5.9763359793566675,6.142336046772205
,entropy,4.0,0.9975216112512877,0.9978501045088086,6.0001466280503895,6.142336046772205
balanced,gini,12.0,0.9985219247823944,0.997730665870409,6.517014566272321,6.088268825501903
balanced,entropy,12.0,0.9980292330431927,0.997252911316811,6.229332493820596,5.89721358873923
balanced,gini,10.0,0.9971334298810075,0.9971334726784115,5.854639044379172,5.854653974320412
balanced,entropy,10.0,0.995819585243136,0.9960585249328158,5.477344813237708,5.53620024320188
balanced,gini,8.0,0.9941623493930933,0.9943266646760227,5.143426856421575,5.171978093627767
balanced,entropy,8.0,0.9919377715403336,0.9923559271424306,4.82056527684863,4.87382472130869
