class_weight,dropout_rate,l2_alpha,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
,0.0,0.0,0.001,0.9985013008117676,0.9985886096954346,-6.503157754961284,-6.563180028795245
[ 0.50283981 88.53395586],0.2,0.0,0.001,0.9980928301811218,0.9985732674598694,-6.26213490605163,-6.552368386133748
[ 0.50283981 88.53395586],0.0,0.0,0.001,0.9984121322631836,0.9984927177429199,-6.445363208784362,-6.4974470795432335
,0.1,0.0,0.005,0.9981629252433777,0.9984697103500366,-6.29958077862762,-6.482298247793816
[ 0.50283981 88.53395586],0.1,0.0,0.01,0.9980305433273315,0.9984697103500366,-6.229997574948151,-6.482298247793816
[ 0.50283981 88.53395586],0.1,0.0,0.001,0.9982520937919617,0.9984505414962769,-6.349336659917011,-6.469849761525456
,0.1,0.0,0.001,0.9982932209968567,0.9984467029571533,-6.373147308610729,-6.467375482759851
,0.2,0.0,0.001,0.9980765581130981,0.9984313607215881,-6.25363904839268,-6.457546737073429
[ 0.50283981 88.53395586],0.1,0.0,0.005,0.9981263875961304,0.99842369556427,-6.279886944802413,-6.452672136321919
[ 0.50283981 88.53395586],0.3,0.0,0.001,0.9977697134017944,0.9984160184860229,-6.105625182393323,-6.447813656127009
,0.3,0.0,0.001,0.9977448582649231,0.9983584761619568,-6.094542454310066,-6.4121302990183136
,0.2,0.0,0.01,0.9975703358650208,0.9983469605445862,-6.020002247240322,-6.405139591454219
[ 0.50283981 88.53395586],0.2,0.0,0.005,0.998007595539093,0.998304808139801,-6.218413097806107,-6.379959352697649
[ 0.50283981 88.53395586],0.0,0.0,0.005,0.998323917388916,0.9983009457588196,-6.391295987514086,-6.377683511445594
,0.2,0.0,0.005,0.9977974891662598,0.9982626080513001,-6.118157281328246,-6.35537017025767
,0.0,0.0,0.005,0.9982587695121765,0.9981897234916687,-6.353163238777417,-6.314275678338219
[ 0.50283981 88.53395586],0.0,0.0,0.01,0.9981167912483215,0.9980823397636414,-6.274778174231132,-6.256649462968537
[ 0.50283981 88.53395586],0.3,0.0,0.01,0.9970937967300415,0.9979864597320557,-5.840907767911944,-6.207860778893694
,0.0,0.0,0.01,0.9980736970901489,0.997974956035614,-6.252152703906495,-6.202163867851427
,0.3,0.0,0.005,0.9974609613418579,0.9979480981826783,-5.975969750640142,-6.18898820012743
[ 0.50283981 88.53395586],0.0,0.0,0.05,0.9975098371505737,0.9978560686111451,-5.995407169268086,-6.1451140377525535
[ 0.50283981 88.53395586],0.3,0.0,0.005,0.9974773526191711,0.9978407263755799,-5.982446380950166,-6.137983398833215
[ 0.50283981 88.53395586],0.2,0.0,0.01,0.9975482821464539,0.9978292107582092,-6.010966335413923,-6.132664471660339
,0.3,0.0,0.01,0.9971417188644409,0.9978138685226441,-5.8575348363769715,-6.125621745859901
,0.1,0.0,0.01,0.9977917671203613,0.9977755069732666,-6.1155626852781,-6.108226242479916
,0.0,0.0,0.05,0.9974504709243774,0.9977218270301819,-5.971846613093004,-6.084381486278647
[ 0.50283981 88.53395586],0.1,0.0,0.05,0.9942911267280579,0.9960151195526123,-5.165733600189616,-5.525247967845533
,0.1,0.0,0.05,0.9943169355392456,0.9957313060760498,-5.1702646739979965,-5.4564473711413575
,0.0,0.0,0.1,0.9940225481987,0.9943429231643677,-5.11976092201854,-5.17484798031415
[ 0.50283981 88.53395586],0.1,0.0,0.1,0.9943121671676636,0.9943429231643677,-5.169425976446055,-5.17484798031415
,0.3,0.0,0.1,0.9943524599075317,0.9943429231643677,-5.1765352104940145,-5.17484798031415
,0.3,0.0,0.05,0.9943054914474487,0.9943429231643677,-5.1682529803542065,-5.17484798031415
,0.2,0.0,0.1,0.9943169355392456,0.9943429231643677,-5.1702646739979965,-5.17484798031415
[ 0.50283981 88.53395586],0.2,0.0,0.05,0.994308352470398,0.9943429231643677,-5.168755524494439,-5.17484798031415
[ 0.50283981 88.53395586],0.2,0.0,0.1,0.9943265914916992,0.9943429231643677,-5.171965194011,-5.17484798031415
,0.2,0.0,0.05,0.9941684007644653,0.9943429231643677,-5.144464004823768,-5.17484798031415
,0.1,0.0,0.1,0.9942795634269714,0.9943429231643677,-5.163710152546913,-5.17484798031415
[ 0.50283981 88.53395586],0.3,0.0,0.05,0.994308352470398,0.9943429231643677,-5.168755524494439,-5.17484798031415
[ 0.50283981 88.53395586],0.3,0.0,0.1,0.9943524599075317,0.9943429231643677,-5.1765352104940145,-5.17484798031415
[ 0.50283981 88.53395586],0.0,0.0,0.1,0.9941012263298035,0.9941818356513977,-5.133010802183852,-5.146770471009328
