class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
,0.1,0.0,50,0.001,0.9985339045524597,0.9986538171768189,-6.5251525701744,-6.610482229954202
[ 0.50283981 88.53395586],0.1,0.0,50,0.001,0.9984841346740723,0.9986499667167663,-6.491768830848049,-6.607626032588534
,0.1,0.0,20,0.001,0.9983354806900024,0.9986307740211486,-6.3982188999365475,-6.593509677743456
[ 0.50283981 88.53395586],0.0,0.0,40,0.001,0.9987152218818665,0.9986077785491944,-6.657169246257452,-6.576854641500654
,0.1,0.0,40,0.001,0.9984495043754578,0.9986039519309997,-6.469180641393417,-6.574109841853476
[ 0.50283981 88.53395586],0.1,0.0,20,0.001,0.9983536601066589,0.9986001133918763,-6.409200701482732,-6.571364039838463
[ 0.50283981 88.53395586],0.1,0.0,40,0.001,0.9984976053237915,0.9985770940780639,-6.50069499304125,-6.555054074543394
,0.0,0.0,80,0.001,0.9987112879753113,0.9985732555389404,-6.654111989846137,-6.552360030763078
[ 0.50283981 88.53395586],0.0,0.0,50,0.001,0.9986777305603027,0.9985732555389404,-6.628405746143073,-6.552360030763078
,0.0,0.0,40,0.001,0.9986509084701538,0.9985694289207458,-6.6083238539128,-6.5496815583099695
[ 0.50283981 88.53395586],0.0,0.0,80,0.001,0.9987323880195618,0.9985617637634278,-6.67062047891556,-6.544337751832282
,0.1,0.0,80,0.001,0.9985359311103821,0.9985579252243042,-6.526535808800159,-6.541672385918893
,0.1,0.0,25,0.001,0.9983028173446655,0.9985540747642517,-6.3787856642649965,-6.539005860767425
[ 0.50283981 88.53395586],0.0,0.0,25,0.001,0.9985195994377136,0.9985502481460571,-6.515442577631772,-6.5363628724067375
[ 0.50283981 88.53395586],0.0,0.0,20,0.001,0.9984850883483887,0.9985310792922973,-6.492398157489335,-6.523227360304625
[ 0.50283981 88.53395586],0.0,0.0,15,0.001,0.9984802007675171,0.9985195755958557,-6.48917703674062,-6.515426472756811
,0.0,0.0,50,0.001,0.9986720085144043,0.9985195517539978,-6.624087639397467,-6.515410368141213
,0.0,0.0,20,0.001,0.998517632484436,0.9985080599784851,-6.514114796641237,-6.5076779780656695
[ 0.50283981 88.53395586],0.1,0.0,80,0.001,0.9985848665237427,0.9984850645065307,-6.560531422825208,-6.492382419495442
,0.0,0.0,25,0.001,0.9985061883926392,0.9984850645065307,-6.506424299713457,-6.492382419495442
[ 0.50283981 88.53395586],0.1,0.0,25,0.001,0.9982980489730835,0.9984850645065307,-6.375980023089522,-6.492382419495442
,0.0,0.0,15,0.001,0.9984811544418335,0.9984428524971009,-6.489804733897361,-6.464899655293589
,0.0,0.0,8,0.001,0.9981714487075806,0.9983891606330871,-6.304231269130633,-6.430999889930717
[ 0.50283981 88.53395586],0.0,0.0,8,0.001,0.9981331825256348,0.9983469843864441,-6.283520183333948,-6.405154014600498
[ 0.50283981 88.53395586],0.1,0.0,15,0.001,0.9981485605239868,0.9983431458473205,-6.291791847308731,-6.402834563313554
,0.1,0.0,15,0.001,0.9981187582015991,0.9983354687690735,-6.27582318913061,-6.398211738177503
[ 0.50283981 88.53395586],0.1,0.0,8,0.001,0.9978311657905579,0.9981897473335266,-6.1335654864616975,-6.314288848710162
,0.1,0.0,8,0.001,0.9977515339851379,0.9981245517730712,-6.097507066449878,-6.278907593766701
