class_weight,dropout_rate,l2_alpha,number_of_hidden_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50283981 88.53395586],0.2,0.0,60,0.002,0.9987841844558716,0.998864758014679,-6.712340197628224,-6.780909447847294
[ 0.50283981 88.53395586],0.2,0.0,50,0.001,0.998774528503418,0.9988609075546264,-6.704429613869586,-6.777523434181551
[ 0.50283981 88.53395586],0.2,0.0,60,0.001,0.9987995028495789,0.9988455653190613,-6.725019515965807,-6.764144508562706
,0.1,0.0,20,0.001,0.9986010789871216,0.9988417506217957,-6.572054044593618,-6.760845570508324
,0.2,0.0,50,0.002,0.998738169670105,0.9988417267799378,-6.675191969309776,-6.760824986329304
[ 0.50283981 88.53395586],0.1,0.0,50,0.002,0.9989088177680969,0.998830235004425,-6.8204935540876725,-6.750952408830168
[ 0.50283981 88.53395586],0.1,0.0,40,0.002,0.9987813234329224,0.9988302230834961,-6.709989790121728,-6.750942218007042
[ 0.50283981 88.53395586],0.2,0.0,55,0.001,0.9987266659736633,0.9988263964653015,-6.666116600788453,-6.7476763192973905
[ 0.50283981 88.53395586],0.2,0.0,50,0.002,0.9987161755561829,0.9988263964653015,-6.657911809061332,-6.7476763192973905
,0.2,0.0,55,0.001,0.9988101124763489,0.998822557926178,-6.733896494266034,-6.744410927490165
[ 0.50283981 88.53395586],0.1,0.0,20,0.0008,0.9985665082931519,0.9988110780715942,-6.54764205790478,-6.734708324988763
,0.1,0.0,60,0.0008,0.9988436698913574,0.9988033890724182,-6.762503988387268,-6.728261944857302
,0.1,0.0,55,0.002,0.9988934397697449,0.9988033771514893,-6.806498966827507,-6.728251982663863
[ 0.50283981 88.53395586],0.1,0.0,55,0.002,0.9988628625869751,0.9988033771514893,-6.779241215733534,-6.728251982663863
,0.1,0.0,45,0.002,0.9988301992416382,0.9987995386123657,-6.750921836672249,-6.725049306390154
,0.1,0.0,20,0.0008,0.9985579252243042,0.9987957239151001,-6.541672385918893,-6.721876651986915
[ 0.50283981 88.53395586],0.2,0.0,40,0.001,0.998691201210022,0.9987918853759765,-6.63864551664401,-6.718694296534385
[ 0.50283981 88.53395586],0.2,0.0,55,0.002,0.9987985491752625,0.9987842082977295,-6.724225431850428,-6.7123598075861794
,0.1,0.0,50,0.001,0.9988120198249817,0.9987803816795349,-6.7355007458759495,-6.709217321263153
,0.1,0.0,60,0.001,0.998853325843811,0.9987765312194824,-6.770889564726127,-6.706065191943593
,0.1,0.0,50,0.002,0.9988762736320496,0.9987727046012879,-6.791105002032104,-6.7029423934820445
[ 0.50283981 88.53395586],0.1,0.0,60,0.002,0.998916506767273,0.9987727046012879,-6.827564982759972,-6.7029423934820445
,0.2,0.0,50,0.0008,0.9987017512321472,0.9987726926803588,-6.64673902432346,-6.702932680359075
,0.1,0.0,50,0.0008,0.9987516403198242,0.9987688660621643,-6.685924845289006,-6.699819633607823
[ 0.50283981 88.53395586],0.1,0.0,50,0.001,0.9988359212875366,0.9987688660621643,-6.755825309567963,-6.699819633607823
,0.2,0.0,25,0.001,0.998649001121521,0.9987688541412354,-6.6069110501457935,-6.699809950769238
[ 0.50283981 88.53395586],0.1,0.0,25,0.002,0.9987448453903198,0.9987650394439698,-6.6804965190219825,-6.6967162478493005
,0.2,0.0,55,0.002,0.9987592697143555,0.9987650275230407,-6.692055132686401,-6.6967065950134845
[ 0.50283981 88.53395586],0.1,0.0,40,0.001,0.9987371563911438,0.9987650275230407,-6.674389268414397,-6.6967065950134845
,0.1,0.0,20,0.002,0.9986624717712402,0.9987612009048462,-6.616931973802055,-6.693612840287041
[ 0.50283981 88.53395586],0.1,0.0,50,0.0008,0.9987985491752625,0.9987611770629883,-6.724225431850428,-6.6935935945283065
[ 0.50283981 88.53395586],0.1,0.0,55,0.001,0.9988101124763489,0.9987573742866516,-6.733896494266034,-6.690528627366396
,0.2,0.0,40,0.002,0.998695969581604,0.9987573623657227,-6.642295488758951,-6.690519034074061
[ 0.50283981 88.53395586],0.2,0.0,20,0.0008,0.9984687566757202,0.9987573623657227,-6.481675243334758,-6.690519034074061
[ 0.50283981 88.53395586],0.2,0.0,50,0.0008,0.9987545013427734,0.9987573623657227,-6.68821930136253,-6.690519034074061
[ 0.50283981 88.53395586],0.2,0.0,55,0.0008,0.9986835718154907,0.9987573504447937,-6.632833130831611,-6.6905094408737575
,0.1,0.0,55,0.0008,0.9987899661064148,0.9987573504447937,-6.717106908538352,-6.6905094408737575
,0.2,0.0,60,0.002,0.9987621307373047,0.9987535238265991,-6.694363713934871,-6.687434769984073
,0.2,0.0,40,0.001,0.998695969581604,0.9987535119056702,-6.642295488758951,-6.687425206326009
[ 0.50283981 88.53395586],0.2,0.0,45,0.002,0.9987027049064636,0.9987496852874755,-6.647473879452289,-6.684359989337113
[ 0.50283981 88.53395586],0.1,0.0,60,0.0008,0.9988484382629395,0.998745858669281,-6.766636225672179,-6.6813041391993755
[ 0.50283981 88.53395586],0.2,0.0,20,0.001,0.9984437823295593,0.998745858669281,-6.465496971981064,-6.6813041391993755
,0.2,0.0,55,0.0008,0.998742938041687,0.9987458348274231,-6.678978059965867,-6.681285128876752
[ 0.50283981 88.53395586],0.1,0.0,60,0.001,0.9988080859184265,0.9987420201301574,-6.732194792153685,-6.6782481225469
,0.2,0.0,20,0.0008,0.9984639286994934,0.9987420201301574,-6.478527225733367,-6.6782481225469
,0.1,0.0,40,0.001,0.9988061785697937,0.9987381815910339,-6.730595831137455,-6.675201416685496
[ 0.50283981 88.53395586],0.1,0.0,55,0.0008,0.9987668991088867,0.998738169670105,-6.698223232427049,-6.675191969309776
[ 0.50283981 88.53395586],0.1,0.0,20,0.002,0.9986778497695923,0.998738169670105,-6.628495905274001,-6.675191969309776
,0.1,0.0,45,0.0008,0.9987199902534485,0.998738169670105,-6.660887586586231,-6.675191969309776
