class_weight,dropout_rate,l2_alpha,number_of_hidden1_layers,number_of_hidden2_layers,sgd_learnrate,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
[ 0.50713542 35.53650255],0.0,0.0,50,80,0.002,0.9989202618598938,0.9983565092086792,6.83103673010951,6.410932767966202
[ 0.50713542 35.53650255],0.0,0.0,30,75,0.002,0.9988390207290649,0.9981940627098084,6.758491430917543,6.316675547629168
[ 0.50713542 35.53650255],0.0,0.0,30,65,0.002,0.9986885190010071,0.9981654047966003,6.636598246758546,6.300931419413187
[ 0.50713542 35.53650255],0.0,0.0,40,80,0.002,0.9988700747489929,0.9981654047966003,6.785603797997123,6.300931419413187
[ 0.50713542 35.53650255],0.0,0.0,50,65,0.002,0.9989297986030579,0.9981176376342773,6.839908426778504,6.275227713460976
[ 0.50713542 35.53650255],0.0,0.0,40,70,0.002,0.9988271594047546,0.9981080889701843,6.748326613476842,6.270167833868453
[ 0.50713542 35.53650255],0.0,0.0,40,60,0.002,0.9987554550170898,0.9980985045433044,6.688985291442113,6.265114619925345
[ 0.50713542 35.53650255],0.0,0.0,20,75,0.002,0.9986981153488159,0.9980411887168884,6.643942332681013,6.2354174779364495
[ 0.50713542 35.53650255],0.0,0.0,40,65,0.002,0.9988676905632019,0.9980029702186585,6.783495982493639,6.216094311619331
[ 0.50713542 35.53650255],0.0,0.0,20,70,0.002,0.998717188835144,0.9979456424713135,6.6587013866783495,6.187792118024158
[ 0.50713542 35.53650255],0.0,0.0,50,75,0.002,0.9989871978759766,0.9979360699653625,6.895034409397022,6.183143329884341
[ 0.50713542 35.53650255],0.0,0.0,30,70,0.002,0.9987578392028809,0.9979265213012696,6.690902837571384,6.178527551429028
[ 0.50713542 35.53650255],0.0,0.0,50,60,0.002,0.9988510012626648,0.9979169607162476,6.768864379041096,6.173927257662498
[ 0.50713542 35.53650255],0.0,0.0,20,65,0.002,0.9986957311630249,0.9979074239730835,6.642112673401952,6.169359423206202
[ 0.50713542 35.53650255],0.0,0.0,20,80,0.002,0.9987316131591797,0.9979074001312256,6.6700093899831066,6.169348029726679
[ 0.50713542 35.53650255],0.0,0.0,30,60,0.002,0.9987195730209351,0.9978978514671326,6.660561679280695,6.164795346384765
[ 0.50713542 35.53650255],0.0,0.0,20,60,0.002,0.9986360669136047,0.9978596448898316,6.597382777659163,6.146783524383751
[ 0.50713542 35.53650255],0.0,0.0,30,80,0.002,0.9987338781356812,0.9978500723838806,6.671796700557202,6.142321104330505
[ 0.50713542 35.53650255],0.0,0.0,40,0,0.002,0.9983159303665161,0.9978309750556946,6.386542013967078,6.133477546832217
[ 0.50713542 35.53650255],0.0,0.0,20,0,0.002,0.9982919692993164,0.9978118658065795,6.372414209138195,6.124706064758107
[ 0.50713542 35.53650255],0.0,0.0,50,0,0.002,0.9985977411270142,0.9978022933006286,6.569670861918301,6.120340871681038
[ 0.50713542 35.53650255],0.0,0.0,30,0,0.002,0.9983350038528442,0.9977927446365357,6.397932469572971,6.116005452254927
[ 0.50713542 35.53650255],0.0,0.0,50,70,0.002,0.9988557696342468,0.9977354168891907,6.773023037631117,6.09036459402553
[ 0.50713542 35.53650255],0.0,0.0,40,75,0.002,0.998841404914856,0.9977258563041687,6.760547141375271,6.086151694871291
