C,class_weight,degree,gamma,kernel,accuracy_tr,accuracy_val,log_accuracy_tr,log_accuracy_val
1.0,,3,2,poly,0.9994246949684781,0.9990172107962989,-7.460610168223447,-6.925115902622709
0.1,,3,2,poly,0.9993467890787928,0.998969269859533,-7.333610477462141,-6.877487853633504
1.0,,3,1,poly,0.9993467890787928,0.998969269859533,-7.333610477462141,-6.877487853633504
0.1,,3,3,poly,0.9993527818395378,0.9989452993911501,-7.342827132566999,-6.854498335408776
0.1,,2,3,poly,0.9991310496919721,0.9989452993911501,-7.048224617270694,-6.854498335408776
0.01,,3,1,poly,0.9990171872378167,0.9989213289227672,-6.925091931867108,-6.832025479556792
0.1,,3,1,poly,0.9992149483424024,0.9989213289227672,-7.149761036490201,-6.832025479556792
1.0,,2,1,poly,0.9991250569312271,0.9989213289227672,-7.041351737982981,-6.832025479556792
0.01,,3,3,poly,0.9992808687105976,0.9989213289227672,-7.237466616909276,-6.832025479556792
0.1,,2,2,poly,0.9990531438022868,0.9988973584543842,-6.962363326664304,-6.810046572837988
0.01,,3,2,poly,0.9991789917779322,0.9988973584543842,-7.104977433863131,-6.810046572837988
1.0,,2,2,poly,0.9991670062564422,0.9988733879860012,-7.0904844265605345,-6.788540367616997
1.0,,3,3,poly,0.9995205791403984,0.9988733879860012,-7.6429317250173625,-6.788540367616997
1.0,,2,3,poly,0.9991789917779322,0.9988494175176182,-7.104977433863131,-6.767486958419138
0.01,,2,2,poly,0.9989153103051513,0.9988494175176182,-6.826461328425433,-6.767486958419138
0.01,,2,3,poly,0.9989392813481315,0.9988254470492354,-6.848808627117477,-6.746867671216471
0.1,,2,1,poly,0.9989452741088765,0.9988254470492354,-6.854474364653114,-6.746867671216471
1.0,,1,2,poly,0.9984119184025697,0.9985617718970229,-6.4452285337050705,-6.544343407104986
1.0,,1,3,poly,0.9983999328810796,0.9985138309602569,-6.437709701291027,-6.511553584281953
1.0,,2,auto,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,2,3,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,3,1,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,3,2,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,2,2,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,3,3,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,2,1,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,3,auto,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,1,auto,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,1,1,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,1,3,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,1,2,linear,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
1.0,,1,1,poly,0.9983819545988446,0.9985138309602569,-6.426536400692913,-6.511553584281953
0.1,,1,3,poly,0.9983280197521394,0.998489860491874,-6.393746577869886,-6.495553242935565
0.01,,2,1,poly,0.9985437591389601,0.9984658900234911,-6.531896916350709,-6.479804885967405
0.1,,2,1,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,1,2,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,1,3,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,1,auto,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,3,auto,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,2,2,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
1.0,,1,auto,poly,0.9979864323896733,0.9984179490867252,-6.207847199728106,-6.449033227300682
0.1,,2,3,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,2,auto,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,3,1,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,3,2,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,1,1,poly,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,1,1,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,3,3,linear,0.9982441211017091,0.9984179490867252,-6.344785750674212,-6.449033227300682
0.1,,1,2,poly,0.9983040487091593,0.9983939786183422,-6.37951146204805,-6.433995349936121
1.0,,2,auto,poly,0.9979324975429681,0.9982980967448104,-6.181413942659922,-6.376008092285764
0.01,,1,3,poly,0.9977047726346573,0.9979864806558321,-6.0769233705106185,-6.2078711704837835
1.0,,3,auto,poly,0.997584917419757,0.9979145692506831,-6.026021797744615,-6.172779850672468
0.01,,1,2,poly,0.9975249898123068,0.9979145692506831,-6.0015107667302585,-6.172779850672468
1.0,balanced,3,3,poly,0.9982441211017091,0.9971235437940458,-6.344785750674212,-5.85119622654504
1.0,balanced,3,2,poly,0.9974111273581514,0.9967160458315355,-5.956532771447194,-5.7187070434989336
0.01,,3,1,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,1,2,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,1,3,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,2,1,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,3,auto,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,2,3,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,2,2,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,2,auto,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,1,auto,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,3,3,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,3,2,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,1,1,poly,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.01,,1,1,linear,0.9966380612220438,0.9966920753631526,-5.695237454168594,-5.711434284169878
0.1,balanced,3,3,poly,0.9966860033080039,0.9959250203748982,-5.709600358168953,-5.50288953227682
0.1,,2,auto,poly,0.9951818203610039,0.9951819358550266,-5.335359090512314,-5.335383061267989
1.0,balanced,3,1,poly,0.9959249226933864,0.9951579653866437,-5.502865561521133,-5.330420271925877
0.1,balanced,3,2,poly,0.9957810964355059,0.9950381130447289,-5.4681800035332495,-5.305969176061703
0.1,,1,auto,poly,0.994612508090227,0.9945587036770699,-5.223675325219673,-5.213737951845677
0.1,,3,auto,poly,0.9945046383968167,0.9944628218035381,-5.203850887434827,-5.196270258805284
0.01,,1,auto,poly,0.9943548193781911,0.9943429694616233,-5.1769530851149215,-5.17485616430146
0.01,,2,auto,poly,0.9943548193781911,0.9943429694616233,-5.1769530851149215,-5.17485616430146
0.01,,3,auto,poly,0.9943548193781911,0.9943429694616233,-5.1769530851149215,-5.17485616430146
0.01,balanced,3,2,poly,0.9944686818323465,0.9940073829042619,-5.197329125188426,-5.117227051464824
0.1,balanced,3,1,poly,0.9944926528753266,0.9939115010307301,-5.2016722373356,-5.101353702308532
0.01,balanced,3,3,poly,0.9947023995014023,0.9937437077520495,-5.240501297053633,-5.0741675620043765
1.0,balanced,2,1,poly,0.9936776374140038,0.9935759144733688,-5.063662313781109,-5.047700988816214
0.1,balanced,2,3,poly,0.9936416808495337,0.993480032599837,-5.057991221077299,-5.032885903031071
1.0,balanced,2,3,poly,0.9942349641632907,0.9934320916630711,-5.155943909025572,-5.025559862939005
