C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
0.1,,5,1,poly,0.9991514295603627,6.176279572761761e-05,-7.0719574600742074
0.1,,4,1,poly,0.9990699282440694,7.935514233494819e-05,-6.98024881787876
0.1,,3,3,poly,0.999060339711958,9.987526736993622e-05,-6.969992143719342
0.8,,4,1,poly,0.9990555457332005,5.1629381571958325e-05,-6.964903292735568
1.0,,3,1,poly,0.9990555451586036,0.00010124992739541328,-6.964902684345335
0.5,,4,1,poly,0.9990459575458475,7.174604956959614e-05,-6.954802386298026
1.0,,4,1,poly,0.999045957430928,7.640215149734216e-05,-6.954802265842799
0.1,,4,2,poly,0.9990459572010894,8.220190523823067e-05,-6.954802024932506
0.5,,3,2,poly,0.9990459572010891,0.00012260322266219965,-6.954802024932273
0.8,,3,1,poly,0.9990459566264921,9.271964652727213e-05,-6.954801422656501
0.1,,3,2,poly,0.9990459566264921,9.271964652727213e-05,-6.954801422656501
0.8,,5,1,poly,0.9990411628775739,0.00014776743329819359,-6.949789338562751
0.8,,3,2,poly,0.9990363687838972,0.00011585650624037187,-6.9448018924569
1.0,,3,2,poly,0.9990315745753012,0.00012828375102146513,-6.939839078909228
0.5,,5,1,poly,0.9990123977409171,0.00017963906450915783,-6.920230513048622
1.0,,5,1,poly,0.9990123976259977,0.00015115155965177499,-6.920230396686595
0.5,,3,1,poly,0.999007603187563,9.419503288752917e-05,-6.915387518125776
1.0,,3,3,poly,0.9989788381658256,4.936520325807629e-05,-6.8868142468025555
0.8,,3,3,poly,0.998974044301988,3.835305234458354e-05,-6.882130712491345
0.5,,3,3,poly,0.998974044301988,9.636215483926971e-05,-6.882130712491345
0.1,,3,1,poly,0.9989644558847959,4.394018785112498e-05,-6.872828275231548
0.1,,4,3,poly,0.9989404846119768,0.00015416429489477918,-6.849943656507516
0.5,,4,2,poly,0.9989404846119768,0.00015416429489477918,-6.849943656507516
0.8,,4,2,poly,0.9989261022160276,0.00018406380765033768,-6.8364604606347985
1.0,,4,2,poly,0.9989261021011082,0.0001996388242285996,-6.836460353623309
0.1,,5,2,poly,0.9989021317476448,0.00012629575190025854,-6.81438493184152
0.8,,4,3,poly,0.9989021310581283,0.00019963940376943896,-6.814384303791455
0.5,,4,3,poly,0.9988973366196934,0.00019709139835103517,-6.810026770868132
0.5,,5,2,poly,0.9988925421812584,0.00020643367285515227,-6.805688143685384
0.1,,5,3,poly,0.9988541890870873,0.0002374972491422713,-6.77164267176158
1.0,,4,3,poly,0.9988493951083303,0.0001831884836365346,-6.767467482136385
0.8,,5,2,poly,0.9988254239504307,0.00021812609847468603,-6.746848005370411
1.0,,5,2,poly,0.9987918644902587,0.00024000114237777016,-6.718677008822711
0.5,,5,3,poly,0.9987199519359156,0.00021791519652012017,-6.66085765168963
0.8,,5,3,poly,0.998686392935421,0.00021990857015399256,-6.634978441251532
1.0,,5,3,poly,0.9986815983820669,0.00021970137284900635,-6.631335171615446
