C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
0.9,,3,1.5,poly,0.998850397939175,0.00010696626354912658,-6.768339430555764
0.5,,3,2,poly,0.998846553116229,7.785173105969604e-05,-6.765000529290244
1.0,,3,1.5,poly,0.998842708293283,8.192270272852963e-05,-6.761672739197469
0.8,,3,2,poly,0.9988388634703371,8.984060475643161e-05,-6.758355986571471
0.8,,3,1.5,poly,0.9988388634703371,0.00010215948522117746,-6.758355986571471
0.7,,3,2,poly,0.9988388634703371,8.47606893192773e-05,-6.758355986571471
0.7,,3,1.5,poly,0.9988273290014995,0.00010244848009901216,-6.74847122733901
0.5,,3,1.5,poly,0.9988234841785537,8.631606105828472e-05,-6.745197901994131
0.7,,3,2.5,poly,0.9988157945326618,0.00012315442637585218,-6.738683220972834
0.5,,3,2.5,poly,0.9988157945326618,8.733758846246419e-05,-6.738683220972834
0.9,,3,2,poly,0.9988119497097159,8.370772062392687e-05,-6.7354417270486575
1.0,,3,2,poly,0.9988004152408783,9.464826502434991e-05,-6.725779816137
0.8,,3,2.5,poly,0.9987927255949864,0.00013723379059231856,-6.71939001803822
0.9,,4,1.5,poly,0.9987888807720404,0.00020811824526470351,-6.716210365120744
0.7,,4,1.5,poly,0.9987888807720404,0.0001689098591755872,-6.716210365120744
0.5,,4,1.5,poly,0.9987811911261486,0.0001340735574160055,-6.7098812300690875
0.9,,3,2.5,poly,0.9987811911261486,0.0001312881777766657,-6.7098812300690875
1.0,,4,1.5,poly,0.998769656657311,0.0001979243750430241,-6.700462008152673
0.8,,4,1.5,poly,0.9987581221884734,0.0002036667713199402,-6.691130680723865
1.0,,3,2.5,poly,0.9987504325425813,0.00012219038472891688,-6.684957821616597
0.5,,4,2,poly,0.99872351878196,0.0001893746065750273,-6.6636480350298175
0.8,,4,2,poly,0.9986696912607174,0.0001695213786385395,-6.622344228888613
0.9,,2,2.5,poly,0.9986658464377716,0.00011314498034959577,-6.619458223999557
1.0,,2,2.5,poly,0.9986620016148257,0.0001176289633648105,-6.616580524171938
0.7,,4,2,poly,0.9986620016148257,0.00017811118954055995,-6.616580524171938
0.7,,2,2.5,poly,0.9986620016148257,0.00011314498034957012,-6.616580524171938
0.8,,2,2.5,poly,0.9986504671459879,0.00011813058168892321,-6.607996780480534
0.9,,4,2,poly,0.9986504671459878,0.0001614825637279406,-6.607996780480452
0.7,,2,1.5,poly,0.9986466223230421,0.00011699891618057979,-6.605151828348381
0.8,,2,2,poly,0.9986466223230421,0.00011183082450108412,-6.605151828348381
0.5,,2,2.5,poly,0.9986466223230421,0.00010779227012859315,-6.605151828348381
0.8,,2,1.5,poly,0.9986466223230419,8.648715351763925e-05,-6.605151828348217
0.7,,2,2,poly,0.9986427775000962,0.0001007020712346283,-6.602314947013177
0.5,,2,2,poly,0.9986427775000962,0.00010359639805686632,-6.602314947013177
1.0,,2,2,poly,0.9986427775000962,0.00011183082450108412,-6.602314947013177
1.0,,4,2,poly,0.9986389326771501,0.00015683861781975113,-6.599486090812532
0.9,,2,2,poly,0.9986350878542043,0.0001080662026418186,-6.596665214470969
0.9,,2,1.5,poly,0.9986350878542043,0.0001002607159860238,-6.596665214470969
1.0,,2,1.5,poly,0.9986350878542043,8.767545273549188e-05,-6.596665214470969
0.5,,4,2.5,poly,0.9986235533853666,0.0001772792784559178,-6.588250017545673
0.5,,2,1.5,poly,0.9985927948017993,5.754404070550304e-05,-6.566149670544976
0.7,,4,2.5,poly,0.9985658810411782,0.00016608567085588772,-6.547204584302657
0.8,,4,2.5,poly,0.9985351224576109,0.0001695213786385264,-6.52598362881974
1.0,,4,2.5,poly,0.998531277634665,0.0001846315845060251,-6.523362395339863
0.9,,4,2.5,poly,0.9985274328117191,0.00017644344504721369,-6.520748014765788
1.0,,3,auto,poly,0.9968703141220348,0.00033194875149600083,-5.76682263794388
1.0,,2,auto,poly,0.9967972624860625,0.00028347585206914716,-5.743749361779545
0.9,,3,auto,poly,0.9967895728401708,0.0003703823931344515,-5.741351279095564
0.9,,2,auto,poly,0.9967549694336576,0.00032016087925818503,-5.730630509350448
0.8,,3,auto,poly,0.9967242108500904,0.00038651467912990343,-5.721196477117109
0.8,,2,auto,poly,0.9966665385059018,0.0003652784152105379,-5.703744027165858
0.7,,3,auto,poly,0.9966434695682264,0.0003768318795434103,-5.696847448106789
0.7,,2,auto,poly,0.996616555807605,0.00038982788590525175,-5.6888610964741275
0.5,,2,auto,poly,0.9964819870044984,0.00038754594696771186,-5.649858938670869
1.0,,4,auto,poly,0.9963666423161213,0.0003428150736308016,-5.617598076452634
0.5,,3,auto,poly,0.9963358837325542,0.0003845976219822055,-5.609168100292224
0.9,,4,auto,poly,0.9961513322311507,0.00039760005446717384,-5.560028224631166
0.8,,4,auto,poly,0.9957860740512899,0.00032291935251023776,-5.469360536438437
