C,class_weight,degree,gamma,kernel,accuracy_val,std_accuracy_val,log_accuracy_val
10.0,balanced,4,0.1,poly,0.9988552311454685,0.00012582034382312965,6.772552536126786
0.1,,3,1.0,poly,0.9988258763098292,0.00018419742411631543,6.7472332052292385
10.0,,4,0.1,poly,0.9988185392837234,0.00016310122489559897,6.741003710915412
0.1,balanced,3,1.0,poly,0.9988112014498718,0.00014229010020538904,6.734812103611035
10.0,balanced,3,0.1,poly,0.9987231409816836,0.00013411871827323545,6.663352108718256
10.0,,3,0.1,poly,0.9986717745292297,7.83439061111468e-05,6.6239114601327325
10.0,,2,1.0,poly,0.998635084013728,0.000107333998910282,6.596662400758102
1.0,,2,1.0,poly,0.9986204083460247,0.00025056541611898086,6.585967726517397
10.0,balanced,2,1.0,poly,0.9986130686274324,0.00013002674936913127,6.58066161791638
1.0,,4,0.1,poly,0.9985763778426818,0.0001258101999492739,6.554550840162921
1.0,balanced,4,0.1,poly,0.9985763767656873,0.00012794522118779477,6.554550083646117
1.0,balanced,2,1.0,poly,0.9985250095054875,0.00025035781391471025,6.519103733609427
0.1,,2,1.0,poly,0.9985176711331384,0.00016176814235038881,6.514140869262083
10.0,,2,0.1,poly,0.9985176711331384,0.00016176814235038881,6.514140869262083
1.0,,3,0.1,poly,0.99843695092204,0.0001730210831125921,6.461116828189307
1.0,balanced,3,0.1,poly,0.9984296130881883,0.00020148684777860512,6.4564332493390575
10.0,balanced,2,0.1,poly,0.9984075979711413,0.0001893661131383681,6.442511692750324
0.1,balanced,2,1.0,poly,0.9984075979711413,0.0001893661131383681,6.442511692750324
1.0,,3,1.0,poly,0.998392919072454,0.00016310960871913186,6.433335834100837
1.0,,2,0.1,poly,0.9983855836618403,0.00024883976123779914,6.428781788148715
0.1,balanced,4,1.0,poly,0.9983782442124968,0.0001380578610563852,6.424245897199671
1.0,balanced,3,1.0,poly,0.9983635669293012,0.00011509516434957287,6.41523636269083
0.1,,4,1.0,poly,0.9983121980536096,0.0001885302888181969,6.3843282200295555
1.0,balanced,2,0.1,poly,0.9982828488721921,0.0002768964066100983,6.3670886824149235
0.1,,4,0.1,poly,0.9982681721274942,0.00026497326212503516,6.358577854550807
0.1,balanced,4,0.1,poly,0.9981507600546505,0.00022567972254040826,6.292980564661562
0.1,,3,0.1,poly,0.9981067306283024,0.00025796729930234333,6.269450118041889
10.0,balanced,3,1.0,poly,0.9980700360740707,0.00019772746916126957,6.250253967468391
0.1,balanced,3,0.1,poly,0.9980186717756062,0.00020226892608306619,6.223987838774224
10.0,,3,1.0,poly,0.9980039915306756,0.0002109069601478933,6.216605857953395
0.1,,2,0.1,poly,0.9979893169399668,0.00010732251498677732,6.209280783778314
10.0,,2,0.01,poly,0.9979893169399668,0.00010732251498677732,6.209280783778314
1.0,balanced,4,1.0,poly,0.9979526245397243,9.679043773405683e-05,6.191196569349169
1.0,,4,1.0,poly,0.9979232715888259,0.00021469232945009968,6.176961502785284
10.0,balanced,2,0.01,poly,0.9976077277705375,0.00021442677519933776,6.035511641065714
0.1,balanced,2,0.1,poly,0.9976077277705375,0.00021442677519933776,6.035511641065714
10.0,,4,1.0,poly,0.9974829775945935,0.00033674059245417885,5.984678661237063
10.0,balanced,4,1.0,poly,0.9974389465527536,0.00036498921150432184,5.967336602304094
10.0,,3,0.01,poly,0.9972408131918169,0.00011223797285394393,5.8928192773826815
10.0,balanced,3,0.01,poly,0.9967564884249931,0.0002043989912191086,5.731098716639589
10.0,,4,0.01,poly,0.9963161901227824,0.0002569566883255351,5.603807769625031
10.0,balanced,4,0.01,poly,0.9955897022994253,0.0002393740078804563,5.4238130860025535
1.0,,2,0.01,poly,0.9953622181415792,0.00015837074818441965,5.373519074799371
1.0,balanced,2,0.01,poly,0.9943495364890973,0.0001411447588614509,5.176017699860753
1.0,,3,0.01,poly,0.9928672057374952,0.00019776450667327036,4.943052219154946
1.0,balanced,3,0.01,poly,0.9904602524553561,0.00025957521805976963,4.652288256697672
0.1,,2,0.01,poly,0.9866663710316331,0.00027329783470877067,4.317465941154604
0.1,balanced,2,0.01,poly,0.9830265927347528,0.0003887659964164669,4.076107438201839
1.0,balanced,4,0.01,poly,0.9817717501797268,0.0008371417802177918,4.004782700370865
1.0,,4,0.01,poly,0.977897145044673,0.000971512880075972,3.812048495302938
0.1,balanced,3,0.01,poly,0.9729217996736894,0.001228872593104647,3.609026290815948
0.1,,3,0.01,poly,0.9597129286894777,0.0014366232846501805,3.2117246726536983
0.1,balanced,4,0.01,poly,0.8448250523819911,0.0017492401912647538,1.8632021042496831
0.1,,4,0.01,poly,0.7139691239363314,0.0015229330051408252,1.2516555157247828
